Time	Nr	Camera	Camera	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	Motor	ST1	ST1	ST2	ST2	ST3	ST3	ST4	ST4	ST5	ST5	ST6	ST6	ST7	ST7	ST8	ST8	ST9	ST9	ST10	ST10
Time	Pic	Exposure	Temprature	Sample Translation	Sample Rotation	Shutter	Pinhole	X_Tilt	Y_Tilt	Y SCAN	Sample Height	CCD	Translation ANA	ROT MONO	ROT ANA	TRA Mono	G0-Rotation	G1_Translation	2_Sample_Translation	2_Sample_Rotation	G2-Tilt	G0_Trans	Beam_B	X_Tilt	Y_Tilt	Beam_R	Beam_L	Beam_T	Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current	Voltage	Current
H:M%	Tomography_0011	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	0.000000	-0.060000	1.091000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000560	0.515546	0.225599	0.514575	0.223980	0.511661	0.223332	0.618514	0.207790	-0.020662	0.231751	0.603943	0.166668	0.321268	0.232399	0.388294	0.291330	0.631142	0.198076
H:M%	Tomography_0012	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	0.000000	-0.060000	1.200000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	-0.000088	0.516517	0.225923	0.515546	0.223980	0.510689	0.223332	0.615599	0.207143	-0.020662	0.231751	0.603943	0.166344	0.320296	0.232723	0.386351	0.291330	0.631142	0.197752
H:M%	Tomography_0013	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	1.809000	-0.060000	0.000000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000236	0.516517	0.225923	0.514575	0.223980	0.511661	0.223009	0.615599	0.207790	-0.020662	0.231104	0.603943	0.166344	0.321268	0.232399	0.387322	0.291330	0.629199	0.197429
H:M%	Tomography_0014	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	1.809000	-0.060000	0.109000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.017222	0.000560	0.516517	0.225923	0.514575	0.223656	0.511661	0.223656	0.616571	0.207790	-0.023576	0.231427	0.601029	0.165697	0.317382	0.231751	0.384408	0.291006	0.627256	0.196781
H:M%	Tomography_0015	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	1.809000	-0.060000	0.218000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.017222	0.000236	0.516517	0.225923	0.513603	0.224304	0.510689	0.223009	0.616571	0.207466	-0.023576	0.231427	0.602000	0.165697	0.318354	0.231427	0.385380	0.290358	0.627256	0.196781
H:M%	Tomography_0016	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	1.809000	-0.060000	0.327500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	-0.000088	0.516517	0.225923	0.514575	0.223656	0.510689	0.223332	0.617542	0.208114	-0.021634	0.231427	0.602000	0.166020	0.318354	0.231751	0.386351	0.291654	0.629199	0.197429
H:M%	Tomography_0017	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	1.809000	-0.060000	0.436500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000236	0.515546	0.225923	0.513603	0.223980	0.509718	0.223332	0.617542	0.207143	-0.021634	0.231427	0.602000	0.166020	0.319325	0.231427	0.384408	0.290682	0.626285	0.196781
H:M%	Tomography_0018	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	1.809000	-0.060000	0.545500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.017222	0.000236	0.516517	0.225599	0.514575	0.223656	0.509718	0.222685	0.617542	0.207466	-0.021634	0.231751	0.604914	0.166344	0.320296	0.232723	0.385380	0.291330	0.628228	0.196781
H:M%	Tomography_0019	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	1.809000	-0.060000	0.654500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.017222	0.000560	0.516517	0.225599	0.514575	0.223656	0.512632	0.223332	0.617542	0.207466	-0.022605	0.231751	0.603943	0.166020	0.318354	0.232399	0.386351	0.290682	0.627256	0.196781
H:M%	Tomography_0020	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	1.809000	-0.060000	0.763500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	-0.000088	0.517489	0.225923	0.515546	0.223980	0.511661	0.223332	0.615599	0.207790	-0.021634	0.231751	0.603943	0.166668	0.320296	0.232075	0.386351	0.291654	0.629199	0.197429
H:M%	Tomography_0021	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	1.809000	-0.060000	0.763500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	0.000236	0.516517	0.225923	0.513603	0.223980	0.511661	0.223332	0.617542	0.208114	-0.020662	0.231751	0.602971	0.166668	0.319325	0.232075	0.386351	0.291006	0.629199	0.197105
H:M%	Tomography_0022	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	1.809000	-0.060000	0.982000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000560	0.516517	0.225599	0.514575	0.223980	0.512632	0.223656	0.617542	0.207466	-0.022605	0.231427	0.602971	0.166020	0.317382	0.232075	0.385380	0.290682	0.627256	0.196781
H:M%	Tomography_0023	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	1.809000	-0.060000	1.091000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	-0.000088	0.516517	0.225275	0.514575	0.224304	0.511661	0.223656	0.617542	0.207790	-0.021634	0.231104	0.602000	0.166020	0.319325	0.231751	0.386351	0.291006	0.627256	0.197105
H:M%	Tomography_0024	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	1.809000	-0.060000	1.200000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	-0.000088	0.516517	0.225599	0.514575	0.223656	0.511661	0.223332	0.615599	0.208114	-0.021634	0.231427	0.601029	0.166344	0.318354	0.231427	0.385380	0.291330	0.629199	0.197429
H:M%	Tomography_0025	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	3.618000	-0.060000	0.000000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	0.000884	0.516517	0.225923	0.514575	0.223980	0.510689	0.223332	0.615599	0.208114	-0.022605	0.231104	0.603943	0.166344	0.319325	0.232399	0.388294	0.291654	0.630170	0.197752
H:M%	Tomography_0026	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	3.618000	-0.060000	0.109000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	0.000236	0.516517	0.225599	0.513603	0.223980	0.510689	0.223656	0.615599	0.207790	-0.023576	0.231104	0.604914	0.166344	0.319325	0.232399	0.387322	0.291330	0.629199	0.197429
H:M%	Tomography_0027	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	3.618000	-0.060000	0.218000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.017222	0.000236	0.517489	0.225599	0.514575	0.223980	0.511661	0.223656	0.613657	0.206495	-0.021634	0.231104	0.602971	0.165373	0.317382	0.232075	0.384408	0.291330	0.627256	0.197429
H:M%	Tomography_0028	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	3.618000	-0.060000	0.327500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.017222	0.000560	0.516517	0.225599	0.513603	0.223980	0.511661	0.223009	0.615599	0.207790	-0.022605	0.231104	0.602000	0.166020	0.317382	0.231751	0.386351	0.291006	0.628228	0.197429
H:M%	Tomography_0029	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	3.618000	-0.060000	0.436500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.017222	0.000236	0.516517	0.225923	0.513603	0.223656	0.510689	0.222685	0.616571	0.208114	-0.021634	0.231104	0.602971	0.166344	0.320296	0.232723	0.387322	0.291330	0.630170	0.198076
H:M%	Tomography_0030	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	3.618000	-0.060000	0.545500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	-0.000088	0.516517	0.225275	0.513603	0.223656	0.510689	0.223332	0.615599	0.207143	-0.020662	0.231751	0.602000	0.166020	0.319325	0.232399	0.385380	0.291006	0.630170	0.197105
H:M%	Tomography_0031	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	3.618000	-0.060000	0.654500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.017222	0.000236	0.516517	0.225923	0.514575	0.224304	0.509718	0.223009	0.616571	0.207143	-0.023576	0.230780	0.601029	0.165373	0.315439	0.231104	0.383437	0.290035	0.626285	0.196133
H:M%	Tomography_0032	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	3.618000	-0.060000	0.763500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000560	0.517489	0.225599	0.513603	0.223656	0.511661	0.223009	0.615599	0.207466	-0.022605	0.231104	0.602000	0.165697	0.317382	0.231104	0.384408	0.290682	0.627256	0.196457
H:M%	Tomography_0033	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	3.618000	-0.060000	0.872500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000560	0.516517	0.225923	0.512632	0.223980	0.511661	0.223656	0.615599	0.207143	-0.022605	0.231104	0.601029	0.165697	0.317382	0.231427	0.384408	0.290682	0.628228	0.196457
H:M%	Tomography_0034	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	3.618000	-0.060000	0.982000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000560	0.515546	0.225599	0.513603	0.223656	0.509718	0.223980	0.614628	0.206819	-0.022605	0.231104	0.602000	0.165697	0.316411	0.231427	0.384408	0.290358	0.626285	0.196133
H:M%	Tomography_0035	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	3.618000	-0.060000	1.091000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000236	0.516517	0.226247	0.514575	0.223980	0.510689	0.223332	0.617542	0.207790	-0.022605	0.230780	0.602000	0.166020	0.318354	0.231751	0.385380	0.290682	0.626285	0.196457
H:M%	Tomography_0036	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	3.618000	-0.060000	1.200000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	0.000236	0.516517	0.225599	0.513603	0.223980	0.510689	0.223332	0.616571	0.208114	-0.022605	0.230780	0.602000	0.165697	0.318354	0.232075	0.386351	0.291006	0.628228	0.196781
H:M%	Tomography_0037	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	5.427000	-0.060000	0.000000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.017222	-0.000088	0.516517	0.225923	0.516517	0.223980	0.510689	0.223009	0.617542	0.207790	-0.020662	0.231104	0.602000	0.166020	0.317382	0.231751	0.386351	0.290682	0.627256	0.196781
H:M%	Tomography_0038	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	5.427000	-0.060000	0.109000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000236	0.516517	0.225599	0.513603	0.223980	0.509718	0.223332	0.617542	0.208114	-0.021634	0.231104	0.601029	0.165697	0.319325	0.231751	0.386351	0.291006	0.628228	0.196457
H:M%	Tomography_0039	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	5.427000	-0.060000	0.218000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	0.000560	0.516517	0.225923	0.514575	0.223980	0.510689	0.223656	0.618514	0.207466	-0.023576	0.231104	0.601029	0.165697	0.317382	0.231427	0.386351	0.291330	0.627256	0.196781
H:M%	Tomography_0040	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	5.427000	-0.060000	0.327500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000560	0.516517	0.225923	0.514575	0.223980	0.509718	0.223332	0.617542	0.207790	-0.020662	0.232399	0.603943	0.166668	0.321268	0.232723	0.388294	0.291654	0.630170	0.197752
H:M%	Tomography_0041	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	5.427000	-0.060000	0.436500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	0.000236	0.516517	0.225599	0.513603	0.223980	0.510689	0.223332	0.616571	0.205200	-0.021634	0.231751	0.603943	0.166344	0.321268	0.232723	0.387322	0.291330	0.630170	0.197752
H:M%	Tomography_0042	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	5.427000	-0.060000	0.545500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	0.000236	0.516517	0.225923	0.512632	0.223656	0.511661	0.223009	0.615599	0.207143	-0.023576	0.231104	0.602000	0.166344	0.318354	0.231751	0.384408	0.290682	0.626285	0.196781
H:M%	Tomography_0043	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	5.427000	-0.060000	0.654500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000236	0.517489	0.225923	0.513603	0.224304	0.510689	0.223332	0.614628	0.206495	-0.021634	0.231104	0.602000	0.166344	0.317382	0.231751	0.385380	0.291006	0.628228	0.196133
H:M%	Tomography_0044	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	5.427000	-0.060000	0.763500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000560	0.515546	0.225599	0.514575	0.223656	0.511661	0.223332	0.618514	0.207790	-0.020662	0.231427	0.602000	0.166020	0.318354	0.231751	0.386351	0.291006	0.627256	0.197105
H:M%	Tomography_0045	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	5.427000	-0.060000	0.872500	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	0.000560	0.517489	0.225599	0.514575	0.223980	0.510689	0.223009	0.618514	0.208114	-0.021634	0.231751	0.602971	0.166344	0.319325	0.232399	0.386351	0.291006	0.630170	0.197429
H:M%	Tomography_0046	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	5.427000	-0.060000	0.982000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.017222	0.000560	0.515546	0.226247	0.514575	0.224304	0.510689	0.223332	0.615599	0.207466	-0.022605	0.231427	0.602971	0.166668	0.319325	0.232399	0.388294	0.291330	0.630170	0.197752
H:M%	Tomography_0047	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	5.427000	-0.060000	1.091000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.016251	0.000236	0.516517	0.225923	0.514575	0.223980	0.510689	0.223332	0.617542	0.208114	-0.023576	0.231104	0.602000	0.166020	0.318354	0.231751	0.385380	0.291330	0.628228	0.196781
H:M%	Tomography_0048	15.0000	-49.30	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	5.427000	-0.060000	1.200000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.015279	0.000236	0.517489	0.225599	0.513603	0.223980	0.510689	0.223332	0.617542	0.206819	-0.022605	0.231427	0.602971	0.166020	0.319325	0.232075	0.384408	0.291330	0.628228	0.196781
H:M%	Tomography_0049	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	7.236000	-0.060000	0.000000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.017222	-0.000088	0.517489	0.225599	0.513603	0.223656	0.510689	0.223009	0.617542	0.207466	-0.019691	0.232075	0.604914	0.166668	0.320296	0.232399	0.386351	0.291330	0.630170	0.197105
H:M%	Tomography_0050	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	7.236000	-0.060000	0.109000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.014308	0.000560	0.516517	0.225599	0.514575	0.223656	0.511661	0.223332	0.617542	0.206819	-0.022605	0.230780	0.602971	0.166020	0.318354	0.231427	0.385380	0.291006	0.627256	0.196781
H:M%	Tomography_0051	15.0000	-49.80	0.000000	0.000000	60.030060	475.000000	0.800000	0.000000	-45.000000	-40.000000	-200.000000	55.290000	26.617500	26.617500	0.000000	2.000000	0.100000	65.000000	7.236000	-0.060000	0.218000	170.000000	0.000000	0.000000	110.000000	20.000000	40.000000	0.017222	-0.000088	0.516517	0.225599	0.514575	0.223980	0.511661	0.223332	0.618514	0.207790	-0.021634	0.231427	0.602000	0.166020	0.318354	0.231751	0.385380	0.291006	0.627256	0.196457
